Date,SPY
2015-01-02,170.58958435058594
2015-01-05,167.50881958007812
2015-01-06,165.93106079101562
2015-01-07,167.99871826171875
2015-01-08,170.97991943359375
2015-01-09,169.6097412109375
2015-01-12,168.2811737060547
2015-01-13,167.80776977539062
2015-01-14,166.79466247558594
2015-01-15,165.2667694091797
2015-01-16,167.43409729003906
2015-01-20,167.7911376953125
2015-01-21,168.6381378173828
2015-01-22,171.14601135253906
2015-01-23,170.20762634277344
2015-01-26,170.60618591308594
2015-01-27,168.3558349609375
2015-01-28,166.1968231201172
2015-01-29,167.73306274414062
2015-01-30,165.62380981445312
2015-02-02,167.67486572265625
2015-02-03,170.0996551513672
2015-02-04,169.45196533203125
2015-02-05,171.16256713867188
2015-02-06,170.68922424316406
2015-02-09,169.92530822753906
2015-02-10,171.73556518554688
2015-02-11,171.835205078125
2015-02-12,173.48776245117188
2015-02-13,174.20184326171875
2015-02-17,174.47593688964844
2015-02-18,174.4925537109375
2015-02-19,174.36790466308594
2015-02-20,175.41429138183594
2015-02-23,175.38934326171875
2015-02-24,175.8875732421875
2015-02-25,175.73814392089844
2015-02-26,175.5305633544922
2015-02-27,174.93264770507812
2015-03-02,176.03704833984375
2015-03-03,175.3145751953125
2015-03-04,174.57554626464844
2015-03-05,174.76657104492188
2015-03-06,172.30853271484375
2015-03-09,173.02268981933594
2015-03-10,170.2159423828125
2015-03-11,169.81732177734375
2015-03-12,171.9763946533203
2015-03-13,170.92176818847656
2015-03-16,173.20535278320312
2015-03-17,172.69052124023438
2015-03-18,174.76657104492188
2015-03-19,173.96937561035156
2015-03-20,175.5050048828125
2015-03-23,175.16297912597656
2015-03-24,174.17868041992188
2015-03-25,171.62632751464844
2015-03-26,171.2176513671875
2015-03-27,171.6096954345703
2015-03-30,173.70327758789062
2015-03-31,172.18521118164062
2015-04-01,171.5762939453125
2015-04-02,172.19354248046875
2015-04-06,173.3529815673828
2015-04-07,172.8942413330078
2015-04-08,173.47813415527344
2015-04-09,174.2454376220703
2015-04-10,175.19635009765625
2015-04-13,174.4038848876953
2015-04-14,174.73751831054688
2015-04-15,175.52162170410156
2015-04-16,175.47157287597656
2015-04-17,173.45303344726562
2015-04-20,175.03787231445312
2015-04-21,174.8292999267578
2015-04-22,175.68849182128906
2015-04-23,176.13052368164062
2015-04-24,176.53924560546875
2015-04-27,175.80523681640625
2015-04-28,176.3640899658203
2015-04-29,175.63841247558594
2015-04-30,173.8784637451172
2015-05-01,175.76353454589844
2015-05-04,176.26400756835938
2015-05-05,174.2454376220703
2015-05-06,173.52809143066406
2015-05-07,174.220458984375
2015-05-08,176.51426696777344
2015-05-11,175.6717529296875
2015-05-12,175.14627075195312
2015-05-13,175.1796875
2015-05-14,177.00631713867188
2015-05-15,177.19822692871094
2015-05-18,177.74876403808594
2015-05-19,177.69032287597656
2015-05-20,177.56521606445312
2015-05-21,178.0823974609375
2015-05-22,177.65692138671875
2015-05-26,175.746826171875
2015-05-27,177.41502380371094
2015-05-28,177.21490478515625
2015-05-29,176.11386108398438
2015-06-01,176.47254943847656
2015-06-02,176.2973175048828
2015-06-03,176.76441955566406
2015-06-04,175.2714385986328
2015-06-05,174.9711151123047
2015-06-08,173.89508056640625
2015-06-09,173.87008666992188
2015-06-10,175.95535278320312
2015-06-11,176.52264404296875
2015-06-12,175.17127990722656
2015-06-15,174.42056274414062
2015-06-16,175.3714599609375
2015-06-17,175.655029296875
2015-06-18,177.48184204101562
2015-06-19,176.6939697265625
2015-06-22,177.59910583496094
2015-06-23,177.7248992919922
2015-06-24,176.43409729003906
2015-06-25,175.89767456054688
2015-06-26,175.8641357421875
2015-06-29,172.17620849609375
2015-06-30,172.53662109375
2015-07-01,173.91958618164062
2015-07-02,173.76031494140625
2015-07-06,173.26583862304688
2015-07-07,174.35546875
2015-07-08,171.43028259277344
2015-07-09,171.7403564453125
2015-07-10,173.90277099609375
2015-07-13,175.82225036621094
2015-07-14,176.58494567871094
2015-07-15,176.52622985839844
2015-07-16,177.9427947998047
2015-07-17,178.09365844726562
2015-07-20,178.18585205078125
2015-07-21,177.48179626464844
2015-07-22,177.1632843017578
2015-07-23,176.16590881347656
2015-07-24,174.3386688232422
2015-07-27,173.32447814941406
2015-07-28,175.45347595214844
2015-07-29,176.660400390625
2015-07-30,176.7023162841797
2015-07-31,176.43409729003906
2015-08-03,175.83900451660156
2015-08-04,175.49534606933594
2015-08-05,176.07369995117188
2015-08-06,174.632080078125
2015-08-07,174.29673767089844
2015-08-10,176.4927520751953
2015-08-11,174.90023803710938
2015-08-12,175.1097869873047
2015-08-13,174.891845703125
2015-08-14,175.52883911132812
2015-08-17,176.50949096679688
2015-08-18,175.99826049804688
2015-08-19,174.60691833496094
2015-08-20,170.96084594726562
2015-08-21,165.8145294189453
2015-08-24,158.83258056640625
2015-08-25,156.9634552001953
2015-08-26,162.98988342285156
2015-08-27,167.02146911621094
2015-08-28,167.02984619140625
2015-08-31,165.6803741455078
2015-09-01,160.73521423339844
2015-09-02,163.78619384765625
2015-09-03,163.9034881591797
2015-09-04,161.42254638671875
2015-09-08,165.47921752929688
2015-09-09,163.2664337158203
2015-09-10,164.1549530029297
2015-09-11,164.9009246826172
2015-09-14,164.28904724121094
2015-09-15,166.3425750732422
2015-09-16,167.78414916992188
2015-09-17,167.4070281982422
2015-09-18,164.67135620117188
2015-09-21,165.52230834960938
2015-09-22,163.37384033203125
2015-09-23,163.1127166748047
2015-09-24,162.5229034423828
2015-09-25,162.48081970214844
2015-09-28,158.4029541015625
2015-09-29,158.49563598632812
2015-09-30,161.4529266357422
2015-10-01,161.8742218017578
2015-10-02,164.292236328125
2015-10-05,167.21578979492188
2015-10-06,166.64280700683594
2015-10-07,168.00772094726562
2015-10-08,169.52430725097656
2015-10-09,169.62538146972656
2015-10-12,169.7854461669922
2015-10-13,168.71543884277344
2015-10-14,167.90667724609375
2015-10-15,170.48475646972656
2015-10-16,171.25991821289062
2015-10-19,171.34413146972656
2015-10-20,171.1250762939453
2015-10-21,170.06346130371094
2015-10-22,172.93649291992188
2015-10-23,174.83218383789062
2015-10-26,174.40249633789062
2015-10-27,174.06549072265625
2015-10-28,176.04544067382812
2015-10-29,175.94435119628906
2015-10-30,175.18601989746094
2015-11-02,177.25869750976562
2015-11-03,177.77259826660156
2015-11-04,177.2333984375
2015-11-05,177.05648803710938
2015-11-06,176.96377563476562
2015-11-09,175.31243896484375
2015-11-10,175.7168426513672
2015-11-11,175.02597045898438
2015-11-12,172.5826416015625
2015-11-13,170.6448974609375
2015-11-16,173.23983764648438
2015-11-17,173.11351013183594
2015-11-18,175.8600616455078
2015-11-19,175.70843505859375
2015-11-20,176.3487548828125
2015-11-23,176.14657592773438
2015-11-24,176.38243103027344
2015-11-25,176.35716247558594
2015-11-27,176.5594024658203
2015-11-30,175.82640075683594
2015-12-01,177.50299072265625
2015-12-02,175.69155883789062
2015-12-03,173.23138427734375
2015-12-04,176.6099395751953
2015-12-07,175.53997802734375
2015-12-08,174.36038208007812
2015-12-09,173.00389099121094
2015-12-10,173.450439453125
2015-12-11,170.08877563476562
2015-12-14,170.94815063476562
2015-12-15,172.7427215576172
2015-12-16,175.2703094482422
2015-12-17,172.5994873046875
2015-12-18,169.52462768554688
2015-12-21,170.92308044433594
2015-12-22,172.47402954101562
2015-12-23,174.60987854003906
2015-12-24,174.3217315673828
2015-12-28,173.92332458496094
2015-12-29,175.77943420410156
2015-12-30,174.53355407714844
2015-12-31,172.7876434326172
2016-01-04,170.3721923828125
2016-01-05,170.66030883789062
2016-01-06,168.50762939453125
2016-01-07,164.46487426757812
2016-01-08,162.6595458984375
2016-01-11,162.82064819335938
2016-01-12,164.13429260253906
2016-01-13,160.04067993164062
2016-01-14,162.66806030273438
2016-01-15,159.1762237548828
2016-01-19,159.38809204101562
2016-01-20,157.345458984375
2016-01-21,158.2269744873047
2016-01-22,161.4730224609375
2016-01-25,159.03211975097656
2016-01-26,161.20179748535156
2016-01-27,159.44741821289062
2016-01-28,160.2779998779297
2016-01-29,164.1851806640625
2016-02-01,164.12583923339844
2016-02-02,161.16795349121094
2016-02-03,162.13406372070312
2016-02-04,162.38836669921875
2016-02-05,159.29483032226562
2016-02-08,157.15060424804688
2016-02-09,157.1590576171875
2016-02-10,157.02342224121094
2016-02-11,154.98086547851562
2016-02-12,158.17611694335938
2016-02-16,160.8458251953125
2016-02-17,163.47320556640625
2016-02-18,162.8037109375
2016-02-19,162.7273406982422
2016-02-22,165.08351135253906
2016-02-23,162.99859619140625
2016-02-24,163.74441528320312
2016-02-25,165.7276611328125
2016-02-26,165.3462677001953
2016-02-29,164.04954528808594
2016-03-01,167.90582275390625
2016-03-02,168.66014099121094
2016-03-03,169.32118225097656
2016-03-04,169.87217712402344
2016-03-07,170.00775146484375
2016-03-08,168.15162658691406
2016-03-09,168.9822235107422
2016-03-10,169.1177978515625
2016-03-11,171.84690856933594
2016-03-14,171.62655639648438
2016-03-15,171.34686279296875
2016-03-16,172.33847045898438
2016-03-17,173.43179321289062
2016-03-18,174.1133270263672
2016-03-21,174.36032104492188
2016-03-22,174.26666259765625
2016-03-23,173.11659240722656
2016-03-24,173.0398712158203
2016-03-28,173.1421356201172
2016-03-29,174.74371337890625
2016-03-30,175.5104522705078
2016-03-31,175.08445739746094
2016-04-01,176.2771759033203
2016-04-04,175.70635986328125
